table,sentence
<page_title> Lucius Neratius Marcellus  <section_title> References  <table> <cell> Suffect Consul of the Roman Empire 95 with Titus Flavius Clemens <col_header> Political offices   <cell> Consul of the Roman Empire 129 with Publius Juventius Celsus Titus Aufidius Hoenius Severianus II <col_header> Political offices   ,"Marcellus was consul twice, first in 95 and again in 129."
<page_title> Chronological summary of the 2012 Summer Olympics  <section_title> Day 6: Thu 2 August  <table> <cell> Shooting <col_header> Gold medalists  <col_header> Sport   <cell> Men's double trap <col_header> Gold medalists  <col_header> Event   <cell> Peter Wilson <col_header> Gold medalists  <col_header> Competitor(s)   <cell> Great Britain <col_header> Gold medalists  <col_header> NOC   ,"In shooting, Peter Wilson of Great Britain won the men's double trap."
"<page_title> K.J. Noons  <section_title> Mixed martial arts record  <table> <cell> George Sotiropoulos <col_header> Opponent   <cell> UFC 166 <col_header> Event   <cell> October 19, 2013 <col_header> Date   ","Noons faced George Sotiropoulos on October 19, 2013, at UFC 166."
<page_title> Steve Dodd  <section_title> Filmography  <table> <cell> The Coca-Cola Kid <col_header> Film   <cell> 1985 <col_header> Year   <cell> Mr Joe <col_header> Character   ,"In 1985, Steve Dodd played the role of Mr. Joe in The Coca-Cola Kid."
<page_title> List of Mississippi locations by per capita income  <section_title> Mississippi Counties Ranked by Per Capita Income  <table> <cell> Holmes <col_header> County   ,Holmes County has the lowest per capita income in Mississippi.
"<page_title> Porsche 991  <section_title> Engines  <table> <cell> Carrera S <col_header> Model   <cell> 3,800 cc (3.8 L) <col_header> Engine (displacement)   <cell> 400 PS (294 kW; 395 hp) at 7,400 rpm <col_header> Power   <cell> 440 N⋅m (325 lb⋅ft) at 5,600 rpm <col_header> Torque   ","The Carrera S has a 3.8 litre engine generating a power of 400 PS (294 kW; 395 hp) at 7,400 rpm and 440 N⋅m (325 lb⋅ft) of torque at 5,600 rpm."
<page_title> Todd Akin  <section_title> Electoral history  <table> <cell> Todd Akin <col_header> Republican   <cell> 39.2% <col_header> Republican   <cell> Claire McCaskill <col_header> Democratic   <cell> 54.7% <col_header> Democratic   ,Todd Akin lost to McCaskill by 54.7 percent to 39.2 percent.
<page_title> 1998 Players Championship  <section_title> Final round  <table> <cell> Justin Leonard <col_header> Player   <cell> 72-69-70-67=278 <col_header> Score   <cell> −10 <col_header> To par   <cell> Glen Day <col_header> Player   <cell> 66-73-70-71=280 <col_header> Score   <cell> Tom Lehman <col_header> Place   <cell> 72-70-70-68=280 <col_header> Country   ,"Justin Leonard shot a final round 67 to win at 278 (−10), two ahead of runners-up Glen Day and Tom Lehman."
<page_title> Sweden Democrats  <section_title> Voter demography  <table> <cell> 17.6% <col_header> 2018   ,"In 2018, the SD increased its support to 17.6% of the votes."
"<page_title> Swimming at the 1924 Summer Olympics – Men's 4 × 200 metre freestyle relay  <section_title> Semifinals  <table> <cell> Ralph Breyer, Harry Glancy, Dick Howell, and Wally O'Connor (USA) <col_header> Swimmers   <cell> 9:59.4 <col_header> Time   <cell> QF WR <col_header> Qual.   ","The United States with the line-up Ralph Breyer, Harry Glancy, Dick Howell, and Wally O'Connor broke the world record in the semifinal with a time of 9:59.4 minutes."
<page_title> Mercedes-Benz S-Class (W220)  <section_title> Engines  <table> <cell> S63 AMG (2001) <col_header> Model   <cell> 6.3 24V AMG <col_header> Engine   <cell> V12 <col_header> Cyl.   ,The S63 was powered by a 6.3L V12.
<page_title> Paul Sass  <section_title> Mixed martial arts record  <table> <cell> Win <col_header> Res.   <cell> Jacob Volkmann <col_header> Opponent   <cell> Submission (triangle armbar) <col_header> Method   <cell> UFC 146 <col_header> Event   <cell> 26 May 2012 <col_header> Date   ,Sass defeated Jacob Volkmann on 26 May 2012 at UFC 146 via submission (triangle armbar).
<page_title> List of Guggenheim Fellowships awarded in 1989  <table> <cell> David Murray <col_header> Fellow   ,David Murray was awarded a Guggenheim Fellowship in 1989.
<page_title> Charles Durning  <section_title> Film  <table> <cell> 1979 <col_header> Year   <cell> The Muppet Movie <col_header> Year   <cell> Doc Hopper <col_header> Title   ,"In 1979, Charles Durning played Doc Hopper in The Muppet Movie."
"<page_title> Steven Weber  <section_title> Television  <table> <cell> 1997 <col_header> Year   <cell> The Shining <col_header> Title   <cell> Jack Torrance <col_header> Role   <cell> 2006 <col_header> Year   <cell> Nightmares & Dreamscapes <col_header> Title   <cell> Episode: ""You Know They Got a Hell of a Band"" <col_header> Notes   <cell> 2006 <col_header> Year   <cell> Stephen King's Desperation <col_header> Title   ","Steven Weber appeared in Stephen King adaptations: Desperation (2006), ""You Know They Got a Hell of a Band"" from the Nightmares & Dreamscapes (2006) and in, The Shining (1997), playing as ""Jack Torrance""."
<page_title> Loris Hezemans  <section_title> Complete TCR International Series results  <table> <cell> 2015 <col_header> Year   <cell> Target Competition <col_header> Team   <cell> SEAT León Cup Racer <col_header> Car  <row_header> Target Competition </row_header>  ,"In 2015, Hezemans made his TCR International Series debut with Target Competition driving a SEAT León Cup Racer."
"<page_title> List of craters on Venus  <section_title> V  <table> <cell> Anna Volkova, Russian chemist (1800–1876). <col_header> Eponym   ",One of the craters on Venus is named after Anna Volkova.
"<page_title> Sparta, Michigan  <section_title> Demographics  <table> <cell> 2010 <col_header> Historical population  <col_header> Census   <cell> 4,140 <col_header> Historical population  <col_header> Pop.   ","The population was 4,140 at the 2010 census."
"<page_title> Henry Dampier  <section_title> Career  <table> <cell> 26 voyages <col_header> Slave Pick-up Point   <cell> 7,594 slaves <col_header> Number of Slaves   <cell> 6,277 slaves <col_header> Number That Survived the Voyage   ","Dampier's slave vessels made 26 voyages for the purpose of trading slaves, acquiring 7,594 slaves with 6,277 surviving."
<page_title> Advance Auto 500  <section_title> Past winners (Touring Format only)  <table> <cell> 1993 <col_header> Year  <col_header> Laps   <cell> 300 <col_header> Race Distance   <cell> 157.8 (253.954) <col_header> Race Distance   ,"In 1993, Advance Auto 500's distance was increased to 300 laps, 157.8 miles."
<page_title> Joel Grey  <section_title> Stage  <table> <cell> 1975 <col_header> Year   <cell> Goodtime Charley <col_header> Title   <cell> 1979 <col_header> Year   <cell> The Grand Tour <col_header> Title   <cell> 1996 <col_header> Year   <cell> Chicago <col_header> Title   <cell> 2003 <col_header> Year   <cell> Wicked <col_header> Title   <cell> 2011 <col_header> Year   <cell> Anything Goes <col_header> Title   ,"Joel Grey appeared in Goodtime Charley (1975), The Grand Tour (1979), Chicago (1996), Wicked (2003) and Anything Goes (2011)."
<page_title> Ogun Records  <section_title> CD  <table> <cell> Ogun OGCD 002 <col_header> Number   <cell> Elton Dean <col_header> Performer   <cell> Unlimited Saxophone Company <col_header> Title   <cell> 1990 <col_header> Year   ,"In 1990, the CD format was released with Elton Dean's Unlimited Saxophone Company."
<page_title> Nana Visitor  <section_title> Television  <table> <cell> 1993–1999 <col_header> Year   <cell> Star Trek: Deep Space Nine <col_header> Title   <cell> Kira Nerys <col_header> Role   ,"From 1993–1999, Visitor appeared on Star Trek: Deep Space Nine as Kira Nerys."
<page_title> List of monarchs of Mercia  <section_title> Kings of the Mercians  <table> <cell> Cearl <col_header> Ruler   <cell> c. 606–c. 626 <col_header> Reign   ,Cearl was a king of Mercia until 626.
"<page_title> Sergey Marchuk  <section_title> Personal records  <table> <cell> 3,000 m <col_header> Event   <cell> 3:56.65 <col_header> Result   <cell> 11 March 1977 <col_header> Date   <cell> Medeo <col_header> Venue   <cell> 4:08.3 <col_header> WR   ","In 1977, Marchuk skated in 3:56.65 in the 3,000 m and had a world record time of 4:08.3 at the Medeo."
"<page_title> Chronology of Chudasama dynasty  <section_title> James Burgess (1876-1882)  <table> <cell> 1235? <col_header> Probable date CE   <cell> Amarji omits Nanghana after Mandalika, to whom he assigns a reign of 22 years 3.75 months, beginning in VS 1270 and then makes Mahipala's reign begin in VS 1302, leaving 10 years unaccounted for, or about the same time as Navaghan IV reigned. <col_header> Reign   ","Navghana (1235?) was omitted after Mandalika and was assigned for 22 years and 3.75 months, beginning in VS 1270, with the next ruler Mahipala's reign beginning in VS 1302; thus 10 years were unaccounted for, or about the same time Navaghana IV reigned."
<page_title> Vishal Gandhi  <table> <cell> Tamanna (TV series) <col_header> TV Show   <cell> Mihir Sukhadia <col_header> Character   <cell> Star Plus <col_header> Channel   ,Vishal Gandhi was seen as Mihir Sukhadia in Tamanna (TV series) on Star Plus.
"<page_title> List of 30 Rock episodes  <section_title> Season 1 (2006–07)  <table> <cell> 5 <col_header> No. in season  <row_header> 5 </row_header>  <cell> ""Jack-Tor"" <col_header> Title  <row_header> 5 </row_header>  <cell> November 16, 2006 <col_header> Original air date  <row_header> 5 </row_header>  ","""Jack-Tor"" is the fifth episode of the first season of the 30 Rock, which aired on November 16, 2006."
<page_title> List of best-selling video game franchises  <section_title> At least 100 million copies  <table> <cell> Final Fantasy <col_header> Franchise name   ,Final Fantasy is one of the best-selling video game franchises.
<page_title> Cameron Gharaee  <section_title> Television  <table> <cell> 2013  <cell> The Newsroom  <cell> Stillman Frank  ,"In 2013, Cameron Gharaee portrayed the role of Stillman Frank in The Newsroom."
<page_title> Bedashwor Singh  <section_title> Career statistics  <table> <cell> Minerva Punjab <col_header> Club  <col_header> Division   <cell> 2016–17 <col_header> Season  <col_header> Apps   <cell> I-League <col_header> League  <col_header> Goals   ,Singh played for I-League side Minerva Punjab in the 2016–17 season.
<page_title> David Suchet  <section_title> Television  <table> <cell> 1980 <col_header> Year   <cell> Oppenheimer <col_header> Year   <cell> Edward Teller <col_header> Title   ,"In 1980, David Suchet played as Edward Teller in Oppenheimer."
"<page_title> Sunyer II, Count of Empúries  <section_title> References  <table> <cell> Count of Empúries 862–915  <cell> Count of Rosselló 896–915  ",Sunyer II was the count of Empúries from 862 and Roussillon from 896.
<page_title> Nathaniel Stookey  <section_title> Recordings  <table> <cell> The Composer is Dead <col_header> Album   <cell> Lemony Snicket <col_header> Librettist   <cell> San Francisco Symphony <col_header> Ensemble/Band   ,San Francisco Symphony recorded The Composer is Dead with text by Lemony Snicket.
<page_title> List of Malayalam films of 1976  <table> <cell> Rajaankanam <col_header> Film   <cell> Jeassy <col_header> Director   ,Rajaankanam is a 1976 Malayalam film directed by Jeassy.
<page_title> Ip Chung Long  <section_title> Career statistics  <table> <cell> 1 <col_header> League  <col_header> Apps  <col_header> League   ,Ip Chung Long featured in 1 Hong Kong League Cup match.
<page_title> 2013–14 Reading F.C. season  <section_title> Matches  <table> <cell> 24 August 2013 4  <cell> Blackpool  <cell> 1 – 0  <cell> Reading  ,"Reading suffered their defeat of the season away to Blackpool, losing 1–0."
"<page_title> List of National Basketball Association single-season rebounding leaders  <table> <cell> 1960–61 <col_header> Season   <cell> Chamberlain, WiltWilt Chamberlain* <col_header> Player   <cell> 27.2 <col_header> RPG   ","In the 1960–61 season, Chamberlain made 27.2 rebounds per game."
<page_title> Patty Mills  <section_title> International stats  <table> <cell> 14.2 <col_header> Points per game   ,"Patty Mills, scored 14.2 points per game in the Olympics."
<page_title> No Fraud  <section_title> Videos  <table> <cell> We Can't Help It If We're From Tampa <col_header> Title   <cell> December 2012 <col_header> Release Date   <cell> Tony Patino <col_header> Writer/Producer   ,"In December 2012, We Can't Help It If We're From Tampa was written and produced by writer Tony Patino."
<page_title> 2004 Malaysian general election  <section_title> Dewan Rakyat  <table> <cell> National Front <col_header> Party  <col_header> %  <col_header> Won   <cell> 198 <col_header> Seats   <cell> Independents <col_header> Party  <col_header> %  <col_header> Won   <cell> 1 <col_header> Seats   ,Front won 198 seats compared to one independent seat.
<page_title> 2014 Four Continents Figure Skating Championships  <section_title> Final results  <table> <cell> 4 <col_header> Rank   <cell> Kharis Ralph / Asher Hill <col_header> Name  <row_header> 4 </row_header>  <cell> Canada <col_header> Nation  <row_header> 4 </row_header>  <cell> 53.97 <col_header> SD  <row_header> 4 </row_header>  <cell> 5 <col_header> Rank  <col_header> 4   <cell> Nicole Orford / Thomas Williams <col_header> Name  <row_header> 5 </row_header>  <cell> Canada <col_header> Nation  <row_header> 5 </row_header>  <cell> 53.73 <col_header> SD  <row_header> 5 </row_header>  ,Canada's Kharis Ralph / Asher Hill (53.97) and Nicole Orford / Thomas Williams (53.73) placed fourth and fifth respectively with a 0.24 point gap between them.
<page_title> List of international cricket centuries by Brian Lara  <section_title> Test cricket centuries  <table> <cell> 153*♠† <col_header> Score   <cell> Australia <col_header> Against   <cell> 26 March 1999 <col_header> Date   ,Brian Lara scored his test cricket international century of 153 against Australia in 1999.
"<page_title> MCC tour of Australia in 1950–51  <section_title> New South Wales Country vs MCC  <table> <cell> MCC  <cell> 169 R.G. Beatty (c) 69 Hollies, W.E. 5/39 Berry, R. 4/45  ","The captain was Beatty, who played against the MCC and made 69 in his teams 169, Hollies took a 5/39 and Berry 4/45."
<page_title> Dino Ndlovu  <section_title> International goals  <table> <cell> 13 October 2018 <col_header> Date   <cell> Seychelles <col_header> Opponent   <cell> 6–0 <col_header> Result   <cell> 2019 Africa Cup of Nations qualification <col_header> Competition   ,"On 13 October 2018, Dino Ndlovu scored in a 6–0 win over Seychelles in an Africa Cup of Nations qualifier."
<page_title> IFFO1  <section_title> Orthologs  <table> <cell> Australian ghostshark <col_header> Common Name   <cell> 462.5 <col_header> Divergence from Human (MYA)   ,"Ortholog found the Australian ghostshark, an IFFO1 gene duplication that took place in fish, which diverged from humans 462.5 million years ago."
<page_title> Theoderic the Great  <section_title> Related links  <table> <cell> Succeeded by Athalaric  ,Theoderic was succeeded by Athalaric.
<page_title> Nicolás Franco (footballer)  <section_title> Career statistics  <table> <cell> River Plate <col_header> Club  <col_header> Division   <cell> 2016 <col_header> Season  <col_header> Apps   <cell> Primera División <col_header> League  <col_header> Goals   ,Franco started his career in 2016 with Primera División side River Plate.
"<page_title> Kootenai, Idaho  <section_title> Demographics  <table> <cell> 2000 <col_header> Historical population  <col_header> Census   <cell> 441 <col_header> Historical population  <col_header> Pop.   ","As of the census of 2000, there were 441 people residing in the Kootenai, Idaho."
<page_title> Nobuharu Asahara  <section_title> Personal bests  <table> <cell> 8.13 m <col_header> Time (sec)  <col_header>    <cell> 3 December 1993 <col_header> Date  <col_header>    ,Nobuharu Asahara achieved a personal best of 8.13 m in 1993.
"<page_title> List of National Monuments of Bosnia and Herzegovina  <section_title> List of monuments  <table> <cell> Muslibegović House <col_header> Name   <cell> Mostar <col_header> Location   <cell> Mostar, Hercegovina-Neretva kanton, Bosnia and Herzegovina. <col_header> Notes   ","Muslibegović House is a national monument located in Mostar, Bosnia and Herzegovina."
<page_title> Albert M. Chan  <section_title> Filmography  <table> <cell> Law & Order: Special Victims Unit <col_header> Year   <cell> Banker <col_header> Title   <cell> 2013 <col_header> Year   <cell> Law & Order: Special Victims Unit <col_header> Year   <cell> Lloyd Chang <col_header> Title   ,"In 2013, Chan was cast Lloyd Chang in his second role on the show Law & Order: Special Victims Unit."
"<page_title> Fife Lake, Michigan  <section_title> Demographics  <table> <cell> 2010 <col_header> Historical population  <col_header> Census   <cell> 443 <col_header> Historical population  <col_header> Pop.   ",The population was 443 at the 2010 census.
"<page_title> Smealinho Rama  <section_title> Mixed martial arts record  <table> <cell> Brandon Halsey <col_header> Opponent   <cell> PFL 2 <col_header> Event   <cell> June 21, 2018 <col_header> Date   ","Smealinho Rama faced Brandon Halsey at PFL 2 on June 21, 2018."
"<page_title> Sports in Memphis, Tennessee  <section_title> Overview of Professional Teams  <table> <cell> Memphis Redbirds <col_header> Club   <cell> Baseball <col_header> Sport   <cell> Pacific Coast League <col_header> League   <cell> AutoZone Park <col_header> Venue   ",The Memphis Redbirds had played baseball in the Pacific Coast League at AutoZone Park.
"<page_title> Just the Way You Are (Bruno Mars song)  <section_title> Release history  <table> <cell> United States <col_header> Country   <cell> August 10, 2010 <col_header> Country  <col_header> United States   <cell> Contemporary <col_header> Release date   <cell> Elektra RecordsAtlantic Records <col_header> Format   ","Just the Way You Are (Bruno Mars song) was released in the United States on August 10, 2010 by Elktra and Atlatic Records."
<page_title> Don Suman  <section_title> Head coaching record  <table> <cell> Rice Owls (Southwest Conference) (1949–1949) <col_header> Season  <col_header> Team  <col_header> Overall  <col_header> Conference  <col_header> Standing  <col_header> Postseason   <cell> Rice: <col_header> Season  <col_header> Team   <cell> 132–105 (.557) <col_header> Overall   ,"Don Suman coached Rice to a 132-105 record, winning one Southwest Conference championship."
<page_title> 2012 Sugar Bowl  <section_title> Final statistics  <table> <cell> 214 <col_header> VT   ,Virginia Tech gained 214 net passing yards.
<page_title> Marlon Mack  <section_title> Career statistics  <table> <cell> 21 <col_header> Receiving  <col_header> Avg  <row_header> 2017 </row_header> <row_header> IND </row_header>  <cell> 225 <col_header> Receiving  <col_header> Lng  <row_header> 2017 </row_header> <row_header> IND </row_header>  <cell> 10.7 <col_header> Receiving  <col_header> TD  <row_header> 2017 </row_header> <row_header> IND </row_header>  <cell> 1 <col_header> Receiving  <col_header> Lost  <row_header> 2017 </row_header> <row_header> IND </row_header>  ,Marlon Mack had 21 receptions for 225 receiving yards (10.7) and one touchdown.
"<page_title> List of Major League Baseball players with a home run in their first major league at bat  <section_title> List  <table> <cell> Guillermo Mota <col_header> Player   <cell> June 9, 1999 <col_header> Date   ","On June 9, Guillermo Mota hit a home run in his first major league at bat."
"<page_title> Old Field, New York  <section_title> Demographics  <table> <cell> 2000 <col_header> Historical population  <col_header> Census   <cell> 947 <col_header> Historical population  <col_header> Pop.   ","As of the census of 2000, there were 947 people residing in the Old Field, New York."
"<page_title> Tripura West (Lok Sabha constituency)  <section_title> Bye election 2002  <table> <cell> CPI(M) <col_header> Party   <cell> Khagen Das <col_header> Candidate   <cell> INC <col_header> Party   <cell> Manik Deb <col_header> Candidate   <cell> 1,50,843 <col_header> Votes  <row_header> Majority </row_header>  ","In the by-election, Khagen Das of CPI(M) defeated Manik Deb of Congress by 1,50,843 votes."
<page_title> Gaurishankar Rural Municipality  <section_title> Political Division of Rural Municipality  <table> <cell> 9 <col_header> Ward No.   <cell> 17062 <col_header> Population   <cell> 681.39 <col_header> Area (Sq. km.)   ,"The Gaurishankar Rural Municipality consists of nine wards, covers an area of 681.39 km² and has a population of 17,062."
<page_title> Thomas Cup  <section_title> 1949–1982  <table> <cell> Malaya <col_header>   <col_header> Runner-up   <cell> 1952 Details <col_header> Year  <col_header> Winner   <cell> Singapore <col_header> Host  <col_header> Score   <cell> Malaya <col_header>   <col_header> Runner-up   <cell> 7–2 <col_header> Final   <cell> United States <col_header> Final   <cell> 1955 Details <col_header> Year  <col_header> Winner   <cell> Singapore <col_header> Host  <col_header> Score   <cell> Malaya <col_header>   <col_header> Runner-up   <cell> 8–1 <col_header> Final   <cell> Denmark <col_header> Final   ,Malaya retained the Thomas Cup in Singapore against the USA (7–2) in 1952 and Denmark (8–1) in 1955.
<page_title> List of aircraft carriers  <section_title> List of all aircraft carriers  <table> <cell> São Paulo <col_header> Name   <cell> Clemenceau <col_header> Class   <cell> Fleet carrier <col_header> Type   <cell> 2000–2017 <col_header> In commission   ,"São Paulo is a fleet carrier of Clemenceau class, which served between 2000-2017."
<page_title> Trine Dyrholm  <section_title> Filmography  <table> <cell> 2004 <col_header> Year   <cell> Forbrydelser <col_header> Danish title   <cell> In Your Hands <col_header> International title   <cell> Kate <col_header> Role   <cell> Bodil Award for Best Actress in a Supporting Role Robert Award for Best Actress in a Supporting Role <col_header> Notes   ,"In 2004, Dyrholm played the role of Kate in Forbrydelser (International title: In Your Hands) for which she won both the Bodil Award and the Robert Award."
"<page_title> Cipolletti  <section_title> Climate  <table> <cell> 213.7 (8.413) <col_header> Climate data for Cipolletti (1901–1990, extremes 1901–present)  <col_header> Year  <row_header> Average precipitation mm (inches) </row_header>  ",Precipitation averaged 213.7 millimetres throughout the year in Cipolletti.
<page_title> Cambridge (UK Parliament constituency)  <section_title> Elections in the 2010s  <table> <cell> Labour <col_header> Party   <cell> Daniel Zeichner <col_header> Candidate   <cell> Julian Huppert <col_header> Candidate   <cell> 599 <col_header> Votes  <row_header> Majority </row_header>  ,"Huppert was unseated by the Labour candidate, Daniel Zeichner who took the Cambridge (UK Parliament constituency) seat with a thin majority of 599 votes."
<page_title> Andrija Delibašić  <section_title> International goals  <table> <cell> 2 <col_header> #   <cell> 7 October 2011 <col_header> Date   <cell> England <col_header> Opponent   <cell> 2–2 <col_header> Result   <cell> Euro 2012 qualifying <col_header> Competition   ,"Delibašić scored his second goal on 7 October 2011, in a 2–2 draw against England at the UEFA Euro 2012."
"<page_title> List of Speakers of the Texas House of Representatives  <section_title> State of Texas  <table> <cell> George Robertson Reeves <col_header> Name   <cell> 1881–September 5, 1882 <col_header> Term in Office   ","In 1881, George R. Reeves became the Speaker of the House of Representatives for the State of Texas."
<page_title> Youghal Greyhound Stadium  <section_title> Current  <table> <cell> 325 <col_header> Distance (yards)   <cell> 525 <col_header> Distance (yards)   <cell> 550 <col_header> Distance (yards)   ,"Race distances are 325, 525 and 550 yards."
<page_title> Sandro Munari  <section_title> Complete WRC results  <table> <cell> 1978 <col_header> Year  <col_header> Lancia Stratos HF   <cell> Fiat 131 Abarth <col_header> Entrant  <col_header> Lancia Marlboro  <col_header> Lancia Marlboro  <col_header> Lancia Alitalia  <col_header> Lancia Alitalia  <col_header> Lancia Alitalia  <col_header> Lancia Pirelli  <row_header> Alitalia Fiat </row_header>  <cell> 1980 <col_header> Year  <col_header> Lancia Stratos HF  <col_header> Alitalia Fiat   <cell> Fiat 131 Abarth <col_header> Car  <col_header> Lancia Fulvia HF  <col_header> Lancia Fulvia HF  <col_header> Lancia Stratos HF  <col_header> Lancia Stratos HF  <col_header> Lancia Stratos HF  <col_header> Lancia Stratos HF  <col_header> Fiat 131 Abarth  <row_header> Sandro Munari </row_header>  ,Sandro Munari competed with a Fiat 131 Abarth in 1978 and 1980.
<page_title> Yoon Bo-ra  <section_title> Variety show  <table> <cell> 2016 <col_header> Year   <cell> Hit the Stage <col_header> Year   <cell> Mnet <col_header> Title   <cell> Contestant <col_header> Network   ,"In 2016, Yoon was a contestant of Mnet's show, Hit the Stage."
<page_title> Joanne Winter  <section_title> Pitching statistics  <table> <cell> 133 <col_header> W   ,Winter has 133 victories.
<page_title> Xander Berkeley  <section_title> Television  <table> <cell> 2018 <col_header> Year   <cell> Supergirl <col_header> Title   <cell> Peter Lockwood <col_header> Role   ,"In 2018, Xander Berkeley portrayed Peter Lockwood in Supergirl."
<page_title> List of nationality transfers in chess  <section_title> To countries in Europe  <table> <cell> Borki Predojević <col_header> Name   <cell> FR Yugoslavia <col_header> From nation   <cell> Bosnia and Herzegovina <col_header> To nation   ,Borki Predojević transferred from FR Yugoslavia to Bosnia and Herzegovina.
"<page_title> List of Warrington Wolves players  <table> <cell> 1059 <col_header> №   <cell> Steve Pickersgill <col_header> Name   <cell> Prop <col_header> Position   <cell> England Academy, product of Crosfields, son of Roy Pickersgill <col_header> Records/Notes   ",Steve Pickersgill played for England (Academy) and as a prop for the Warrington Wolves (№ 1059).
<page_title> 2013–14 Feyenoord season  <section_title> Matches  <table> <cell> 15 September 2013 6  <cell> N.E.C.  <cell> 3 – 3  <cell> Feyenoord  <cell> Nijmegen  ,"On September 15, Feyenoord played against N.E.C. in Nijmegen, and ended in a 3-all draw."
